epoch,train loss,val loss
1,0.12170545145084984,0.1046956389521559
2,0.09430695450619647,0.07795567469050486
3,0.07024674003845767,0.059827723540365696
4,0.056158819167237535,0.049985096945116915
5,0.0475589626517735,0.043607810667405524
6,0.0402639610006621,0.03966704662889242
7,0.034907115172398716,0.03636266244575381
8,0.029158536442800573,0.03630469716154039
9,0.023833974607680972,0.03861368362170955
10,0.02006976485840584,0.03492376708891243
11,0.015201312597644956,0.03695349240054687
12,0.011897542357052628,0.037982385217522584
13,0.008930415258203683,0.04099326215994855
14,0.007803212725067217,0.0414758586557582
15,0.005890044050389214,0.048701422133793436
16,0.0051717574260883815,0.04563245406219115
17,0.003874778108499748,0.05019172979518771
18,0.0038055511258885655,0.053128250796968736
19,0.004515458045429305,0.053320735692977905
20,0.0038518267150625196,0.05303670093417168
